id,name,description,brand,color,barcode,origin,material,size,price
11,morbi vel lectus in quam fringilla,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.",brand_5,Aquamarine,17270-503,Iran,,L,8.95
12,,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",brand_7,Green,0904-3571,South Africa,,XS,15.94
13,justo lacinia eget,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",brand_8,Aquamarine,55154-7808,China,,S,17.91
14,dictumst etiam faucibus cursus,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,brand_3,Red,0169-5176,China,,M,
15,lorem quisque ut erat curabitur,"Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",brand_8,Yellow,33992-0271,China,,,19.18
16,venenatis tristique fusce congue diam,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,brand_1,Puce,61919-044,Yemen,Granite,,15.67
17,eget congue eget semper rutrum nulla,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.",,,36987-3395,Philippines,Aluminum,,29.76
18,nisl nunc nisl duis bibendum,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",brand_7,,0904-5905,China,,,16.2
19,orci luctus et ultrices posuere cubilia,,brand_10,Crimson,0006-3800,Netherlands,,,6.49
20,eget orci,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",brand_6,Purple,57664-181,Canada,,L,23.97
21,duis faucibus accumsan,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",brand_7,,0904-5953,,,S,5.91
22,morbi ut odio cras,"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",brand_6,Khaki,12634-118,East Timor,,XL,10.85
23,aenean sit amet justo morbi,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,brand_1,Indigo,52125-155,Colombia,,,12.26
24,in hac,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,brand_5,Puce,52959-450,Indonesia,,XL,13.11
25,neque aenean auctor,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",brand_5,Purple,55316-181,Ecuador,,,11.15
26,arcu libero rutrum,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.",brand_5,Yellow,61543-6169,United States,,,23.23
27,turpis nec,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,brand_5,,68220-143,Iran,,L,13.04
28,vitae mattis nibh ligula nec sem,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,brand_3,Blue,59148-010,China,Granite,,23.89
29,accumsan odio curabitur,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",brand_6,Fuscia,69154-010,Poland,,,23.57
30,justo maecenas rhoncus aliquam lacus,Maecenas rhoncus aliquam lacus.,brand_6,Aquamarine,36987-3226,France,,L,23.47
31,mauris viverra,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",brand_3,,13537-287,Greece,,2XL,14.02
32,erat eros viverra eget congue eget,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",brand_10,Red,36987-1879,China,,,27.37
33,id nisl,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",brand_1,Crimson,16590-070,China,,L,27.34
34,sem sed sagittis nam congue,"Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",brand_8,,52125-170,Indonesia,,M,26.91
35,porta volutpat quam,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",brand_8,Goldenrod,62839-0138,France,,,9.55
36,sed magna at,,brand_6,,0781-7242,Mayotte,Plastic,,25.45
37,nibh in lectus pellentesque at nulla,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.",brand_4,,55289-618,China,Plastic,,29.13
38,duis consequat dui nec,Vivamus vestibulum sagittis sapien.,brand_1,Goldenrod,41250-055,Peru,Granite,M,12.74
39,amet justo morbi ut odio cras,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",brand_8,Blue,43742-0089,,,,9.41
40,eleifend luctus,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,brand_1,,0135-0501,China,Plastic,,12.92
41,quis justo maecenas,,brand_5,Khaki,24236-581,,,,14.36
42,luctus tincidunt nulla mollis molestie,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",brand_3,Purple,0338-1025,Indonesia,,L,29.08
43,justo pellentesque viverra pede,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,brand_6,,0187-2203,,,L,11.79
44,dapibus augue vel accumsan tellus,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",brand_1,Fuscia,63717-902,Portugal,,M,8.54
45,turpis donec posuere metus vitae ipsum,"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",brand_8,Purple,60512-8023,Japan,,XL,25.5
46,lobortis vel dapibus at,Sed ante. Vivamus tortor. Duis mattis egestas metus.,brand_3,Crimson,59779-469,Russia,Stone,M,
47,,Fusce consequat. Nulla nisl. Nunc nisl.,brand_3,Crimson,21695-257,Kosovo,,XS,14.41
48,purus aliquet at feugiat,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",brand_4,,54973-3085,Portugal,Brass,L,28.69
49,dictumst aliquam augue quam sollicitudin,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",brand_4,Goldenrod,35356-253,Belarus,,M,20.17
50,vestibulum quam sapien varius ut blandit,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",brand_6,Teal,57664-217,China,,,14.35
51,pede lobortis ligula sit amet eleifend,Integer a nibh. In quis justo.,brand_3,Green,55111-579,Indonesia,Plastic,,28.04
52,ridiculus mus etiam vel augue vestibulum,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",brand_5,Puce,47781-100,Ukraine,,L,26.87
53,faucibus cursus urna ut tellus,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",brand_10,Green,53808-0354,France,,,28.68
54,justo nec condimentum neque sapien placerat,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",brand_3,,48951-3062,Philippines,Plexiglass,3XL,14.63
55,rutrum ac lobortis vel dapibus at,"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",brand_6,Pink,0409-6138,Serbia,,M,21.22
56,massa volutpat convallis morbi,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",brand_4,Fuscia,62011-0099,Belgium,,,28.7
57,pellentesque ultrices phasellus id,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",brand_2,Mauv,50436-5996,Portugal,,2XL,26.51
58,ut blandit,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",brand_2,Aquamarine,43353-795,United States,,M,14.86
59,ac diam,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,brand_10,Orange,0268-1319,Russia,,S,22.72
60,lorem ipsum,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,brand_3,,52125-709,Azerbaijan,,,21.45
61,nam nulla integer,,brand_9,Orange,55154-4058,South Africa,,,21.18
62,vel lectus in quam fringilla,,brand_3,Green,14290-314,Ukraine,,,10.88
63,justo maecenas,Maecenas rhoncus aliquam lacus.,brand_3,,17156-618,Indonesia,,,16.19
64,cras mi,Nulla mollis molestie lorem.,brand_1,,37012-667,China,Vinyl,2XL,23.89
65,porttitor lacus,,brand_1,Indigo,64980-157,Czech Republic,,,8.19
66,cursus vestibulum proin eu,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,brand_1,Maroon,57237-100,Spain,Brass,,28.57
67,ipsum dolor,,brand_2,Turquoise,0024-0335,Poland,,S,13.23
68,facilisi cras non velit nec nisi,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,brand_5,Red,62856-500,China,,,26.94
69,consectetuer eget rutrum,Morbi a ipsum. Integer a nibh.,brand_3,Blue,64725-1324,Russia,,2XL,5.71
70,pede morbi,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",brand_1,Turquoise,51824-008,China,,,10.35
71,rhoncus sed vestibulum sit,"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",brand_2,Red,68828-175,Belarus,Plastic,,5.95
72,tempus vel pede,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",brand_3,,36987-2942,China,,,28.32
73,mi in,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",brand_1,,48951-7072,,,,13.46
74,habitasse platea dictumst aliquam augue quam,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",brand_1,Aquamarine,10812-042,Argentina,,,14.96
75,ut nulla sed accumsan felis ut,,brand_6,Indigo,11673-447,,,,5.23
76,non velit donec diam neque,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.",brand_8,Red,42549-609,China,Rubber,,29.83
77,morbi a ipsum integer a,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",brand_9,,58503-013,China,,,11.37
78,cubilia curae,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",brand_2,,53329-158,Belarus,,M,13.21
79,quis turpis eget elit sodales,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",brand_2,,43734-001,Russia,Aluminum,XL,27.98
80,nulla tellus,,brand_6,Red,61016-0005,Poland,,,16.34
81,erat fermentum justo nec condimentum,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",brand_9,,63936-8508,Spain,,,24.84
82,in tempor turpis,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",brand_10,,64117-228,Haiti,Rubber,XS,12.68
83,nibh in,Fusce posuere felis sed lacus.,brand_5,Orange,0185-0724,,Wood,,29.71
84,sed augue aliquam erat,,brand_2,Orange,36800-482,China,,,23.63
85,adipiscing elit proin risus praesent,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",brand_8,Aquamarine,0268-1007,Argentina,Wood,,6.7
86,eu tincidunt,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",brand_3,Fuscia,16714-421,China,,XL,11.15
87,vitae quam,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,brand_3,Yellow,0280-7180,China,,2XL,16.42
88,justo sit amet sapien dignissim,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",brand_1,,36987-2693,Sweden,,,21.03
89,mi sit amet lobortis,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",brand_3,Violet,10096-0257,Indonesia,,M,18.12
90,aliquam erat volutpat in congue,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",brand_3,,55154-7272,Egypt,,M,23.15
91,amet consectetuer adipiscing elit,,brand_5,,0574-0121,,,XS,6.99
92,donec diam,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",brand_5,Crimson,67108-3565,France,,,18.26
93,sed tristique,Ut tellus. Nulla ut erat id mauris vulputate elementum.,brand_3,Maroon,68084-432,Uruguay,Aluminum,,6.06
94,suscipit a feugiat et,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",brand_9,Green,64980-504,,,,19.54
95,lorem ipsum,"Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",brand_3,,0430-0220,China,,,25.16
96,proin eu mi nulla ac enim,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",brand_8,Crimson,54569-5353,Portugal,,,21.51
97,nunc proin at,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",brand_7,Fuscia,65044-4707,Indonesia,,,8.24
98,nisi nam ultrices libero non,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",brand_7,,0093-5269,United States,Rubber,XS,26.05
99,ipsum primis in faucibus,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",brand_10,,58118-0128,China,,XL,24.93
